id,brand,model_id,year,transmission,fuelType,mileage,tax,mpg,engineSize,price
53394,3,17,2019,Automatic,Diesel,7148,145,50.4,2.0,29990
27771,2,44,2018,Manual,Diesel,19254,150,60.1,2.0,15750
22402,2,33,2017,Manual,Petrol,13275,145,60.1,1.0,10400
29944,2,32,2018,Manual,Petrol,20106,145,65.7,1.0,10595
47602,3,53,2013,Manual,Petrol,61984,125,51.4,1.2,6191
36516,2,44,2017,Manual,Petrol,16284,160,45.6,1.5,12700
5890,0,10,2019,Semi-Auto,Petrol,4641,145,34.9,2.0,29900
34577,2,20,2018,Manual,Petrol,10422,145,49.6,1.0,13000
34865,2,43,2017,Manual,Petrol,9937,150,57.7,1.2,7500
7527,0,13,2019,Semi-Auto,Diesel,6314,150,50.4,2.0,27900
13407,1,2,2014,Semi-Auto,Diesel,69382,125,57.6,3.0,11000
34183,2,44,2017,Manual,Petrol,18727,160,45.6,1.5,12799
10819,1,4,2018,Automatic,Diesel,21947,150,68.9,2.0,21950
2532,0,11,2019,Manual,Petrol,2124,145,41.5,2.0,18698
34519,2,44,2017,Semi-Auto,Diesel,43750,145,54.3,2.0,14990
8553,0,57,2015,Manual,Diesel,36435,200,47.9,2.0,17999
45670,3,52,2019,Automatic,Petrol,52,150,33.2,2.0,29882
43004,3,37,2019,Semi-Auto,Petrol,14122,145,42.2,1.5,16450
26914,2,33,2019,Manual,Petrol,1103,145,50.4,1.5,19950
27921,2,32,2017,Manual,Petrol,37200,145,65.7,1.0,10000
26956,2,33,2016,Manual,Diesel,25957,0,74.3,1.5,10291
50747,3,81,2018,Semi-Auto,Petrol,33172,145,38.2,2.0,23990
26530,2,32,2018,Manual,Petrol,39794,145,56.5,1.0,10520
44170,3,37,2016,Automatic,Diesel,33621,125,56.5,2.0,16300
44602,3,37,2019,Automatic,Petrol,14905,150,44.8,1.0,16110
31025,2,44,2019,Manual,Petrol,3000,150,35.3,1.5,20900
50488,3,81,2020,Manual,Diesel,4169,145,42.8,2.0,32990
25225,2,32,2019,Manual,Petrol,7584,145,58.9,1.0,19000
48437,3,53,2019,Manual,Petrol,10056,145,48.7,1.0,11790
33339,2,32,2019,Manual,Petrol,4293,145,60.1,1.0,15500
14764,1,4,2016,Manual,Diesel,65747,125,58.9,2.0,12290
18599,1,3,2017,Automatic,Diesel,23312,145,55.4,3.0,20999
38568,2,28,2017,Manual,Diesel,32222,30,64.2,1.5,9500
32910,2,32,2017,Manual,Petrol,28488,145,65.7,1.0,9999
14845,1,2,2019,Semi-Auto,Diesel,1501,145,52.3,2.0,25970
34495,2,32,2018,Manual,Petrol,33247,145,65.7,1.0,10400
44028,3,37,2015,Manual,Diesel,52210,0,68.9,1.6,8475
32172,2,44,2018,Automatic,Petrol,16000,145,38.2,1.5,18995
29893,2,32,2018,Manual,Petrol,8259,145,65.7,1.0,12199
1453,0,10,2017,Semi-Auto,Diesel,41225,145,61.4,2.0,18885
24741,2,28,2017,Manual,Petrol,23259,145,53.3,1.0,9998
45197,3,52,2016,Manual,Diesel,46485,20,68.9,2.0,12495
9709,0,10,2017,Manual,Diesel,13291,145,74.3,1.6,13995
37865,2,32,2014,Manual,Petrol,37890,0,65.7,1.0,7749
6864,0,8,2016,Manual,Petrol,30539,30,57.6,1.4,10900
18572,1,2,2019,Automatic,Diesel,12777,145,53.3,3.0,26950
7249,0,10,2019,Semi-Auto,Petrol,8148,145,42.2,1.5,22400
34233,2,33,2019,Manual,Petrol,3260,145,49.6,1.0,16499
